
Corpus summary:
	 Training set size: 8 documents
	 Vocabulary size: 121 terms
	 Training set size: 187 tokens
	 Preprocessing time: 5.10109662 sec

Finished training LDA model.  Summary:
	 Training time: 6.782704881 sec
	 Training data average log likelihood: -7.3889319681324706

20 topics:
TOPIC_0;aisle;0.23392981012769082
TOPIC_0;voter;0.22161773145672242
TOPIC_0;means;0.20604386464793348
TOPIC_0;Law;0.14774514817495055
TOPIC_0;upon;0.1477451480196783
TOPIC_0;Senate;0.042918297573024455

TOPIC_1;aisle;0.23392882742535756
TOPIC_1;voter;0.2216181539914127
TOPIC_1;means;0.20604428038079078
TOPIC_1;Law;0.14774527211681057
TOPIC_1;upon;0.1477451536207205
TOPIC_1;Senate;0.04291831246490784

TOPIC_2;aisle;0.23393026003281883
TOPIC_2;voter;0.22161720416342115
TOPIC_2;means;0.20604391958878318
TOPIC_2;upon;0.14774517245135066
TOPIC_2;Law;0.14774515148245526
TOPIC_2;Senate;0.04291829228117091

TOPIC_3;aisle;0.23392956599302642
TOPIC_3;voter;0.22161825575774735
TOPIC_3;means;0.20604364153566246
TOPIC_3;Law;0.14774512166906742
TOPIC_3;upon;0.14774511530934384
TOPIC_3;Senate;0.042918299735152494

TOPIC_4;aisle;0.2339291015870712
TOPIC_4;voter;0.2216189827914399
TOPIC_4;means;0.20604345360362947
TOPIC_4;Law;0.14774508966402972
TOPIC_4;upon;0.14774506796124404
TOPIC_4;Senate;0.04291830439258566

TOPIC_5;aisle;0.23392989018554694
TOPIC_5;voter;0.22161761762747986
TOPIC_5;means;0.20604390079027318
TOPIC_5;upon;0.14774514904767613
TOPIC_5;Law;0.147745145803941
TOPIC_5;Senate;0.04291829654508276

TOPIC_6;aisle;0.2339306262098671
TOPIC_6;voter;0.2216167172943107
TOPIC_6;means;0.20604402643429146
TOPIC_6;upon;0.14774519631120353
TOPIC_6;Law;0.1477451459096753
TOPIC_6;Senate;0.04291828784065187

TOPIC_7;aisle;0.23392928315174547
TOPIC_7;voter;0.22161828865385141
TOPIC_7;means;0.20604382560674636
TOPIC_7;Law;0.147745164987481
TOPIC_7;upon;0.14774513327361344
TOPIC_7;Senate;0.042918304326562254

TOPIC_8;aisle;0.23392980718926207
TOPIC_8;voter;0.22161698020470588
TOPIC_8;means;0.20604446293605835
TOPIC_8;Law;0.1477452473375547
TOPIC_8;upon;0.1477452020982221
TOPIC_8;Senate;0.04291830023419681

TOPIC_9;aisle;0.23392998221823044
TOPIC_9;voter;0.22161700814624916
TOPIC_9;means;0.2060442822688625
TOPIC_9;Law;0.14774522506451415
TOPIC_9;upon;0.14774520470949204
TOPIC_9;Senate;0.04291829759265172

TOPIC_10;aisle;0.233930684711191
TOPIC_10;voter;0.22161713030879457
TOPIC_10;means;0.2060436498417264
TOPIC_10;upon;0.14774516573700824
TOPIC_10;Law;0.14774508389997007
TOPIC_10;Senate;0.04291828550130976

TOPIC_11;aisle;0.23393150021139672
TOPIC_11;voter;0.2216165687636976
TOPIC_11;means;0.20604346581275443
TOPIC_11;upon;0.14774517997116812
TOPIC_11;Law;0.14774501128075948
TOPIC_11;Senate;0.042918273960223526

TOPIC_12;aisle;0.23392857022988303
TOPIC_12;voter;0.22161879839497411
TOPIC_12;means;0.20604400153625121
TOPIC_12;Law;0.1477452091597541
TOPIC_12;upon;0.1477451067852402
TOPIC_12;Senate;0.04291831389389745

TOPIC_13;aisle;0.23392906079648465
TOPIC_13;voter;0.22161876788691132
TOPIC_13;means;0.206043646769447
TOPIC_13;Law;0.14774512869332876
TOPIC_13;upon;0.14774508992333188
TOPIC_13;Senate;0.042918305930496434

TOPIC_14;aisle;0.23392957329162828
TOPIC_14;voter;0.2216175724299358
TOPIC_14;means;0.20604416126631547
TOPIC_14;Law;0.14774522155370243
TOPIC_14;upon;0.14774516918604172
TOPIC_14;Senate;0.042918302272376294

TOPIC_15;aisle;0.2339288186567056
TOPIC_15;voter;0.22161841666224671
TOPIC_15;means;0.20604408762265286
TOPIC_15;Law;0.1477452295911081
TOPIC_15;upon;0.14774513596507002
TOPIC_15;Senate;0.04291831150221666

TOPIC_16;aisle;0.2339293192142867
TOPIC_16;voter;0.22161891089188177
TOPIC_16;means;0.20604334332202845
TOPIC_16;upon;0.14774506684987587
TOPIC_16;Law;0.14774505870300586
TOPIC_16;Senate;0.04291830101892135

TOPIC_17;aisle;0.2339300517249065
TOPIC_17;voter;0.2216174875818112
TOPIC_17;means;0.20604385664581912
TOPIC_17;upon;0.14774516499195847
TOPIC_17;Law;0.14774514441469905
TOPIC_17;Senate;0.042918294640805606

TOPIC_18;aisle;0.23393053531004127
TOPIC_18;voter;0.22161758615185934
TOPIC_18;means;0.2060434077478663
TOPIC_18;upon;0.14774513693512462
TOPIC_18;Law;0.14774504754335546
TOPIC_18;Senate;0.042918286311752984

TOPIC_19;aisle;0.2339311103274919
TOPIC_19;voter;0.22161628477325857
TOPIC_19;means;0.20604397753800885
TOPIC_19;upon;0.14774521680753436
TOPIC_19;Law;0.147745128904801
TOPIC_19;Senate;0.04291828164890532

